kit_id,transect_location,latitude,longitude
K021,Wetland,41.6054,-83.1533
K021,Transition,41.6053,-83.1536
K021,Upland,41.6053,-83.1537
K022,Water,41.4629,-82.9971
K022,Sediment,41.4629,-82.9971
K022,Wetland,41.4626,-82.9973
K022,Transition,41.4623,-82.9974
K022,Upland,41.4621,-82.9974
K023,Water,38.8014,-76.7033
K023,Sediment,38.8158,-76.7033
K023,Wetland,38.8014,-76.7031
K023,Transition,NA,NA
K023,Upland,38.7511,-76.7019
K024,Water,38.2087,-75.8044
K024,Sediment,38.2087,-75.8044
K024,Wetland,38.2088,-75.8044
K024,Transition,38.2105,-75.8056
K024,Upland,38.2108,-75.8054
K025,Water,38.8873,-76.5621
K025,Sediment,38.8873,-76.5621
K025,Wetland,38.8873,-76.5621
K025,Transition,38.8873,-76.5621
K025,Upland,38.8872,-76.5623
K026,Water,37.7106,-75.6117
K026,Sediment,37.7106,-75.6117
K026,Wetland,37.712,-75.6102
K026,Transition,37.7128,-75.6086
K026,Upland,37.7129,-75.6085
K027,Water,37.9914,-75.8238
K027,Sediment,37.9914,-75.8238
K027,Wetland,37.9927,-75.8221
K027,Transition,37.9923,-75.8218
K027,Upland,37.9917,-75.8216
K029,Water,39.4188,-75.3786
K029,Sediment,39.4188,-75.3786
K029,Wetland,39.4188,-75.3786
K029,Transition,39.4187,-75.3786
K029,Upland,39.4185,-75.3788
K030,Water,39.0884,-75.4374
K030,Sediment,39.0884,75.4374
K030,Wetland,39.0881,-75.4375
K030,Transition,NA,NA
K030,Upland,39.0885,-75.438
K033,Water,47.1041,-88.5153
K033,Sediment,47.1041,-88.5153
K033,Wetland,47.1043,-88.516
K033,Transition,NA,NA
K033,Upland,47.1041,-88.517
K034,Water,38.7746,-75.9752
K034,Sediment,38.7746,-75.9752
K034,Wetland,38.7745,-75.9753
K034,Transition,38.7744,-75.9753
K034,Upland,38.7743,-75.9754
K035,Water,38.5922,-76.1307
K035,Sediment,38.5922,-76.1307
K035,Wetland,38.5922,-76.1307
K035,Transition,38.5922,-76.1302
K035,Upland,38.5922,-76.13
K036,Water,39.0412,-76.2218
K036,Sediment,39.0412,-76.2218
K036,Wetland,39.0385,-76.2239
K036,Transition,39.0381,-76.2242
K036,Upland,39.0379,-76.2244
K037,Water,37.5569,-76.9731
K037,Sediment,37.5569,-76.9731
K037,Wetland,37.5569,-76.9731
K037,Transition,NA,NA
K037,Upland,NA,NA
K038,Water,37.3264,-77.2078
K038,Sediment,37.3264,-77.2078
K038,Wetland,37.3267,-77.2078
K038,Transition,NA,NA
K038,Upland,37.3267,-77.2072
K039,Water,43.7621,-86.4077
K039,Sediment,43.7621,-86.4077
K039,Wetland,43.7618,-86.4075
K039,Transition,43.7604,-86.4078
K039,Upland,43.7568,-86.4049
K040,Water,37.4559,-75.8335
K040,Sediment,37.4559,-75.8335
K040,Wetland,37.4566,-75.8332
K040,Transition,37.4644,-75.8358
K040,Upland,37.4654,-75.8356
K041,Water,37.4557,-75.8334
K041,Sediment,37.4557,-75.8334
K041,Wetland,37.4557,-75.8334
K041,Transition,37.4638,-75.8357
K041,Upland,37.4656,-75.835
K042,Water,39.8816,-75.2665
K042,Sediment,38.8816,-75.2665
K042,Wetland,39.8816,-75.265
K042,Transition,39.8815,-75.2648
K042,Upland,39.8815,-75.2646
K043,Water,39.062,-75.394
K043,Sediment,39.062,-75.397
K043,Wetland,NA,NA
K043,Transition,NA,NA
K043,Upland,NA,NA
K044,Water,38.8837,-76.5583
K044,Sediment,38.8837,-76.5583
K044,Wetland,38.8841,-76.5582
K044,Transition,38.8842,-76.5583
K044,Upland,38.8843,-76.5583
K045,Water,39.9886,-74.8467
K045,Sediment,39.9887,-74.8466
K045,Wetland,39.9889,-74.8465
K045,Transition,39.9905,-74.8443
K045,Upland,39.991,-74.8434
K046,Water,39.0892,-75.4365
K046,Sediment,39.0892,-75.4365
K046,Wetland,39.089,-75.4366
K046,Transition,NA,NA
K046,Upland,29.0887,-75.4351
K047,Water,43.4162,-86.3489
K047,Sediment,43.4162,-86.3489
K047,Wetland,43.4169,-86.35
K047,Transition,43.4166,-86.3508
K047,Upland,43.4161,-86.3521
K048,Water,39.8803,-75.2667
K048,Sediment,39.8803,-75.2667
K048,Wetland,39.8802,-75.2669
K048,Transition,39.8801,-75.2666
K048,Upland,39.88,-75.2665
K049,Water,42.6708,-86.2107
K049,Sediment,42.6708,-86.2107
K049,Wetland,42.6708,-86.2106
K049,Transition,42.6709,-86.2106
K049,Upland,42.6709,-86.2105
K050,Water,37.3344,-77.2072
K050,Sediment,37.3344,-77.2072
K050,Wetland,37.3347,-77.2069
K050,Transition,37.3347,-77.2058
K050,Upland,37.3347,-77.2058
K051,Water,38.5747,-76.2191
K051,Sediment,38.5747,-76.2191
K051,Wetland,38.5747,-76.2194
K051,Transition,38.5747,-76.2191
K051,Upland,38.5746,-76.2185
K052,Water,38.1595,-75.7905
K052,Sediment,38.1595,-75.7904
K052,Wetland,38.1596,-75.7899
K052,Transition,38.1604,-75.7899
K052,Upland,38.1609,-75.7906
K053,Water,38.812,-76.7083
K053,Sediment,38.8121,-76.7082
K053,Wetland,38.812,-76.708
K053,Transition,38.812,-76.7061
K053,Upland,38.812,-76.7061
K054,Water,38.9677,-75.3703
K054,Sediment,38.9677,-75.3703
K054,Wetland,38.968,-75.37
K054,Transition,38.9681,-75.3698
K054,Upland,38.9683,-75.3697
K055,Water,39.8055,-75.2077
K055,Sediment,39.8055,-75.2077
K055,Wetland,NA,NA
K055,Transition,NA,NA
K055,Upland,39.8057,-75.2103
K056,Water,39.1838,-74.8511
K056,Sediment,39.1838,-74.8511
K056,Wetland,39.1838,-74.8511
K056,Transition,39.1836,-74.8517
K056,Upland,39.1837,-74.8518
K057,Water,39.1683,-75.5211
K057,Sediment,NA,NA
K057,Wetland,NA,NA
K057,Transition,NA,NA
K057,Upland,NA,NA
K058,Water,39.2576,-75.0905
K058,Sediment,39.2576,-75.0905
K058,Wetland,39.2575,-75.0904
K058,Transition,39.2574,-75.0903
K058,Upland,39.3574,-75.0903
K059,Water,38.4292,-76.2374
K059,Sediment,38.4292,-76.2374
K059,Wetland,38.4295,-76.2269
K059,Transition,38.4303,-76.2269
K059,Upland,38.4305,-76.2265
K060,Water,39.3259,-75.4749
K060,Sediment,39.325,-75.479
K060,Wetland,39.3123,-75.4961
K060,Transition,NA,NA
K060,Upland,NA,NA
K061,Water,39.2157,-75.4618
K061,Sediment,39.2157,-75.4618
K061,Wetland,39.2153,-75.4609
K061,Transition,39.2152,-75.4607
K061,Upland,39.2151,-75.4605
K062,Water,38.8753,-76.5513
K062,Sediment,38.8753,-76.5513
K062,Wetland,38.8751,-76.5515
K062,Transition,38.8747,-76.5516
K062,Upland,38.8743,-76.5515
