Sample_ID,Sample_Description,SUVA254,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
K048 W,Kit 048 Wetland,0.92659,0.016776,0.99445,0.020172,0.98963,0.83165,4.9915,1.7126,0.9641,0.65913,0.67583
K050 T,Kit 050 Transition,1.8451,0.01818,0.99826,0.021179,0.99731,0.8584,5.8065,1.5647,1.0831,0.49267,0.49785
K050 UP,Kit 050 Upland,3.2432,0.015425,0.99829,0.021446,0.99987,0.71929,6.6266,1.5605,0.92103,0.4666,0.46942
K050 W,Kit 050 Wetland,0.49024,0.019894,0.99623,0.02319,0.99935,0.85786,7.9161,1.6531,0.89118,0.67349,0.68665
K061 T,Kit 061 Transition,1.6723,0.020447,0.99784,0.018942,0.9995,1.0795,6.0269,1.6353,0.96376,0.5254,0.5281
K061 UP,Kit 061 Upland,1.7818,0.019925,0.99798,0.019558,0.99917,1.0188,6.1588,1.4601,1.0287,0.47964,0.48313
K061 W,Kit 061 Wetland,1.6112,0.01943,0.99812,0.020508,0.99788,0.9474,5.9141,1.5171,1.051,0.51543,0.52434
poT09Nov22,Post Tea Nov 09,,0.031217,0.99337,0.024021,0.99171,1.2996,4.127,1.4437,0.13967,0.55993,0.57318
poT10Nov22,Post Tea Nov 10,,0.031215,0.99344,0.023767,0.99224,1.3134,4.1342,1.5896,0.1368,0.55186,0.56003
poT14Nov22,Post Tea Nov 14,,0.031285,0.99339,0.024319,0.99162,1.2865,4.1707,1.3919,0.13429,0.53947,0.56475
poT15Nov22,Post Tea Nov 15,,0.031432,0.99335,0.02445,0.99184,1.2855,4.1927,1.4444,0.13781,0.52625,0.55049
prT09Nov22,Pre Tea Nov 09,,0.031191,0.99335,0.023966,0.99143,1.3014,4.1365,1.375,0.13951,0.54758,0.5616
prT10Nov22,Pre Tea Nov 10,,0.031126,0.99341,0.023996,0.99154,1.2971,4.1336,1.4992,0.13699,0.52834,0.54573
prT14Nov,Pre Tea Nov 14 (2),,0.03127,0.99339,0.024409,0.99136,1.2811,4.188,1.3191,0.13671,0.55964,0.59427
prT14Nov22,Pre Tea Nov 14,,0.031165,0.99339,0.023975,0.9915,1.2999,4.1224,1.3264,0.13657,0.57342,0.58975
prT15Nov22,Pre Tea Nov 15,,0.031453,0.99337,0.024717,0.99116,1.2725,4.2096,1.4546,0.13839,0.52933,0.54957
